Wikipedia_movie_ID,title,Movie_genres,Movie_year_released,averageRating,numVotes,e_count,i_count,extro_proportion,number of characters,extroverted_bin,treatment,Propensity_score
1496622,lean on me,"['Docudrama', 'Action', 'Drama', 'Coming of age', 'Biopic [feature]', 'Biography', 'Biographical film']",-0.3112427623574658,7.4,-0.47959703208462046,1,0,1.0,1,"(0.947, 1.0]",1,0.6333197565913712
284676,once upon a time in the west,"['Action', 'Action/Adventure', 'Western', 'Spaghetti Western', 'Ensemble Film', 'Epic Western', 'Revisionist Western', 'World cinema']",-1.584080127120633,8.5,0.7808024490008081,1,4,0.2,5,"(0.158, 0.211]",0,0.6420939199164233
42147,midnight cowboy,"['Buddy film', 'Drama']",-1.5234688240366727,7.8,-0.10608069213403017,2,0,1.0,2,"(0.947, 1.0]",1,0.6493780594836435
27702708,real steel,"['Science Fiction', 'Sports', 'Action', 'Drama']",1.0222059054896617,7.1,0.8000914900462464,2,3,0.4,5,"(0.368, 0.421]",0,0.5988992917803054
20777420,district 9,"['Action', 'Drama', 'Thriller', 'Science Fiction', 'Sci-Fi Adventure', 'World cinema']",0.9009832993217411,7.9,2.204783375789287,2,3,0.4,5,"(0.368, 0.421]",0,0.5871548805320359
1430396,corpse bride,"['Costume drama', 'Comedy', 'Romantic comedy', 'Musical', 'Fantasy', 'Animation', 'Stop motion', 'Black comedy']",0.6585380869858998,7.4,0.5811980214065008,6,4,0.6,10,"(0.579, 0.632]",1,0.6071375865764872
2311212,double impact,"['Action', 'Action/Adventure', 'Thriller', 'Martial Arts Film', 'Crime Fiction']",-0.19002015618954507,4.4,-0.5615214063312027,1,0,1.0,1,"(0.947, 1.0]",1,0.6321187555505328
51906,breakfast at tiffany's,"['Comedy', 'Romance Film', 'Romantic comedy', 'Drama', 'Comedy of manners', 'Comedy-drama']",-2.0083592487083552,7.6,0.17334899661978703,3,3,0.5,6,"(0.474, 0.526]",1,0.6545145885319802
477099,50 first dates,"['Comedy', 'Romance Film', 'Romantic comedy']",0.5979267839019394,6.8,0.899394476573628,0,2,0.0,2,,0,0.6050608638715331
2094975,arizona dream,"['Comedy', 'Adventure', 'Romance Film', 'Drama', 'Fantasy', 'Indie', 'Comedy-drama', 'Romantic drama']",-0.0687975500216244,7.2,-0.3903021764929807,3,2,0.6,5,"(0.579, 0.632]",1,0.6285139059588193
2298338,welcome to the dollhouse,"['Comedy', 'Cult', 'Drama', 'Coming of age', 'Domestic Comedy', 'Indie', 'Black comedy']",0.0524250561462963,7.4,-0.4241120485190281,0,2,0.0,2,,0,0.6268485170284103
16706073,"i love you, man","['Comedy', 'Romance Film', 'Buddy film']",0.9009832993217411,7.0,0.27484543839545783,5,3,0.625,8,"(0.579, 0.632]",1,0.6060549430322725
73444,easy rider,"['Adventure', 'Action', 'Existentialism', 'Action/Adventure', 'Drama', 'Biker Film', 'Americana', 'Indie', 'Outlaw biker film', 'New Hollywood', 'Crime Fiction', 'Road movie', 'Stoner film']",-1.5234688240366727,7.3,-0.11469334526844127,2,1,0.6666666666666666,3,"(0.632, 0.684]",1,0.6494578617900136
629072,hard eight,"['Drama', 'Thriller', 'Indie', 'Crime Fiction', 'Crime Drama']",0.11303635923025664,7.1,-0.3556235703990625,0,3,0.0,3,,0,0.6252007027625214
43566,heat,"['Action', 'Action/Adventure', 'Thriller', 'Psychological thriller', 'Drama', 'Crime Fiction', 'Crime Thriller', 'Heist']",0.0524250561462963,6.1,-0.5671269030768304,7,10,0.4117647058823529,17,"(0.368, 0.421]",0,0.6282089329546139
672934,the lawnmower man,"['Science Fiction', 'Japanese Movies', 'Horror', 'Sci-Fi Horror']",-0.12940885310558473,5.4,-0.41743734061294413,1,2,0.3333333333333333,3,"(0.316, 0.368]",0,0.6297634540927812
3370462,the addiction,"['Black-and-white', 'Horror', 'Drama']",0.0524250561462963,6.4,-0.5236351667559156,0,5,0.0,5,,0,0.6277954355521816
9990262,200 pounds beauty,"['Comedy', 'Romance Film']",0.7191493900698601,6.7,-0.5339106004817716,1,0,1.0,1,"(0.947, 1.0]",1,0.6169037271925543
1348145,emma,"['Black-and-white', 'Comedy-drama', 'Drama']",-3.7660870381432052,7.0,-0.563223496156488,5,3,0.625,8,"(0.579, 0.632]",1,0.6883040117302818
1917925,what ever happened to baby jane?,"['Drama', 'Horror', 'Thriller', 'Psychological thriller']",-1.9477479456243951,8.0,-0.3306739996806201,0,2,0.0,2,,0,0.6581823614870221
915306,better off dead,"['Comedy', 'Romance Film', 'Romantic comedy', 'Teen', 'Black comedy']",-0.5536879746933071,7.1,-0.3787609854374668,5,4,0.5555555555555556,9,"(0.526, 0.579]",1,0.6363104531221545
43849,the apartment,"['Comedy', 'Romance Film', 'Romantic comedy', 'Drama', 'Black-and-white', 'Comedy-drama', 'Workplace Comedy']",-2.0689705517923156,8.3,0.1843437893249207,4,0,1.0,4,"(0.947, 1.0]",1,0.6553741858758823
2273984,thank you for smoking,"['Comedy', 'Drama', 'Parody', 'Satire', 'Political cinema', 'Indie', 'Film adaptation', 'Political satire', 'Comedy-drama', 'Black comedy']",0.6585380869858998,7.5,0.3245087244293008,1,0,1.0,1,"(0.947, 1.0]",1,0.6096265020457515
3564280,the road home,"['Romance Film', 'Chinese Movies', 'Drama', 'Romantic drama', 'World cinema']",0.29487026848213765,6.0,-0.5674453078709369,0,1,0.0,1,,0,0.6242317851282864
543162,boys don't cry,"['Docudrama', 'Romance Film', 'Drama', 'Gay', 'Gay Interest', 'Crime Fiction', 'Gay Themed']",0.29487026848213765,7.5,-0.1670886230541855,2,3,0.4,5,"(0.368, 0.421]",0,0.6204022339483789
